_id,singkat,hasil
1198,kepsek,kepala sekolah
1199,kepulau,ke pulau
1200,kepuncak,ke puncak
1201,keputar,terputar
1202,keputusanya,keputusannya
1203,keragunan,ke ragunan
1204,kerajan,kerajaan
1205,keras2,keras-keras
1206,kerasa,terasa
1207,kerdus,kardus
1208,kere,miskin
1209,kering2,kering-kering
1210,keringet,keringat
1211,kerj,kerja
1212,kerjain,kerjakan
1213,kerjan,pekerjaan
1214,kerumah,ke rumah
1215,kesabaranya,kesabarannya
1216,kesalahane,kesalahannya
1217,kesalon,ke salon
1218,kesampean,kesampaian
1219,kesampeng,ke samping
1220,kesane,kesannya
1221,kesangkut,tersangkut
1222,kesanya,kesannya
1223,kesasar,tersasar
1224,kesawah,ke sawah
1225,kesayanganya,kesayangannya
1226,kesederhanan,kesederhanaan
1227,kesedian,kesediaan
1228,kesedianya,kesediaannya
1229,kesekolah,ke sekolah
1230,keselip,terselip
1231,kesetian,kesetiaan
1232,kesetianmu,kesetiaanmu
1233,kesetianya,kesetiaannya
1234,kesian,kasihan
1235,kesklh,ke sekolah
1236,kesmpean,kesampaian
1237,kesna,kesana
1238,kesni,kesini
1239,kesno,kesana
1240,kesodara,ke saudara
1241,kesokalh,ke sekolah
1242,kesono,kesana
1243,kesukan,kesukaan
1244,ket,keterangan
1245,ketabrak,tertabrak
1246,ketagih,tertagih
1247,ketarik,tertarik
1248,ketawa,tertawa
1249,ketawa2,ketawa-tawa
1250,ketentuanya,ketentuannya
1251,keterpurulanya,keterpurukannya
1252,ketiban,tertimpa
1253,ketidaknyamananya,ketidaknyamanannya
1254,ketidung,ke tidung
1255,ketike,ketika
1256,ketimpa,tertimpa
1257,ketingalan,ketinggalan
1258,ketok,terlihat
1259,ketoke,sepertinya
1260,ketrangan,keterangan
1261,ketrngan,keterangan
1262,ketuan,ketuaan
1263,ketuker,ketukar
1264,ketutup,tertutup
1265,keungulan,keunggulan
1266,keungulanya,keunggulannya
1267,kewarganegaran,kewarganegaraan
1268,kewarnet,ke warung internet
1269,keyword,kata kunci
1270,kga,tidak
1271,kgak,tidak
1272,kgk,tidak
1273,kgn,kangen
1274,khayalany,khayalannya
1275,khilap,khilaf
1276,khs,khas
1277,kie,ini
1278,kira2,kira-kira
1279,kiyai,kyai
1280,kjadian,kejadian
1281,kjauhan,kejauhan
1282,kjauhn,kejauhan
1283,klah,kalah
1284,klaksonya,klaksonnya
1285,klangan,kalangan
1286,klapa,kelapa
1287,klebihan,kelebihan
1288,klekson,klakson
1289,klh,kalah
1290,kliahatan,kelihatan
1291,klian,kalian
1292,kliatan,kelihatan
1293,kliatanya,kelihatannya
1294,kliatn,kelihatan
1295,klien2,klien-klien
1296,kliling,keliling
1297,klima,kelima
1298,klmpok,kelompok
1299,klo,kalau
1300,klow,kalau
1301,klrg,keluarga
1302,kls,kelas
1303,klu,kalau
1304,kluar,keluar
1305,kluaran,keluaran
1306,kluarga,keluarga
1307,kluargo,keluarga
1308,kluarin,keluarkan
1309,kluarkan,keluarkan
1310,klulusan,kelulusan
1311,klw,kalau
1312,klytn,kelihatan
1313,klz,kelas
1314,km,kamu
1315,kmaha,bagaimana
1316,kmaleman,kemalaman
1317,kmana,kemana
1318,kmane,kemana
1319,kmar,kamar
1320,kmaren,kemarin
1321,kmari,kemari
1322,kmarin,kemarin
1323,kmbali,kembali
1324,kmbaranya,kembarannya
1325,kmbl,kembali
1326,kmbli,kembali
1327,kmbuh,kambuh
1328,kmi,kami
1329,kmis,kamis
1330,kmn,kemana
1331,kmna,kemana
1332,kmna2,kemana-mana
1333,kmonas,ke monas
1334,kmpl,kumpul
1335,kmplin,kumpulkan
1336,kmpnye,kampanye
1337,kmpul,kumpul
1338,kmpung,kampung
1339,kmpus,kampus
1340,kmr,kamar
1341,kmren,kemarin
1342,kmri,kemari
1343,kmrin,kemarin
1344,kmrmandi,kamar mandi
1345,kmrn,kemarin
1346,kms,kamis
1347,kmu,kamu
1348,kmunya,kamunya
1349,kn,kan
1350,kna,kena
1351,knal,kenal
1352,knan,kanan
1353,knapa,kenapa
1354,knape,kenapa
1355,knci,kunci
1356,kndala,kendala
1357,kndaraan,kendaraan
1358,kndaran,kendaraan
1359,kndisi,kondisi
1360,kndla,kendala
1361,knfrmsi,konfirmasi
1362,kngen,kangen
1363,knggo,untuk
1364,kngn,kangen
1365,kngo,untuk
1366,kni,kini
1367,knjungi,kunjungi
1368,knl,kenal
1369,knp,kenapa
1370,knp2,kenapa-kenapa
1371,knpa,kenapa
1372,knpah,kenapa
1373,kntor,kantor
1374,kntr,kantor
1375,knyataan,kenyataan
1376,knyatan,kenyataan
1377,knytaanya,kenyataannya
1378,knytanya,kenyataannya
1379,kominfo,Komunikasi dan Informatika
1380,komnas,komisi nasional
1381,komplk,komplek
1382,konsumenya,konsumennya
1383,kontrakanya,kontrakannya
1384,koordinasikn,koordinasikan
1385,kordinasi,koordinasi
1386,kordinasikn,koordinasikan
1387,kordinat,koordinat
1388,kosanya,kosannya
1389,kosongin,kosongkan
1390,kost,kos
1391,kotabgr,kota bogor
1392,kowe,kamu
1393,koyo,seperti
1394,kpada,kepada
1395,kpala,kepala
1396,kpalaku,kepalaku
1397,kpan,kapan
1398,kpantai,ke pantai
1399,kpd,kepada
1400,kpengen,ingin
1401,kpercyaan,kepercayaan
1402,kpercyan,kepercayaan
1403,kpleset,terpleset
1404,kpn,kapan
1405,kpn2,kapan-kapan
1406,kpotong,terpotong
1407,kprluan,keperluan
1408,kputusan,keputusan
1409,kq,kok
1410,kra2,kira-kira
1411,krajinan,kerajinan
1412,kranjang,keranjang
1413,kreatifitas,kreativitas
1414,kreatip,kreatif
1415,kren,keren
1416,kreta,kereta
1417,krg,kurang
1418,krj,kerja
1419,krja,kerja
1420,krjo,kerja
1421,krm,kirim
1422,krmh,kerumah
1423,krn,karena
1424,krna,karena
1425,kro,sama
1426,krt,kartu
1427,krtik,kritik
1428,krtu,kartu
1429,krtunya,kartunya
1430,krudung,kerudung
1431,ksampean,kesampaian
1432,ksana,kesana
1433,ksedot,tersedot
1434,ksel,kesal
1435,ksetrum,tersetrum
1436,ksh,kasih
1437,ksian,kasihan
1438,ksiang,kesiangan
1439,ksiangan,kesiangan
1440,ksianny,kasihannya
1441,ksiannya,kasihannya
1442,ksiany,kasihannya
1443,ksianya,kasihannya
1444,ksih,kasih
1445,ksihan,kasihan
1446,ksini,kesini
1447,ksitu,kesitu
1448,kskolah,ke sekolah
1449,ksn,kesana
1450,ksna,kesana
1451,ksni,kesini
1452,ksno,kesana
1453,ksono,kesana
1454,kstu,kesitu
1455,ksukaan,kesukaan
1456,ksukan,kesukaan
1457,kt,kita
1458,kta,kata
1459,ktany,katanya
1460,ktanya,katanya
1461,ktawa2,ketawa-tawa
1462,ktemu,ketemu
1463,ktika,ketika
1464,ktimbang,daripada
1465,ktingalan,ketinggalan
1466,ktinggalan,ketinggalan
1467,ktinggian,ketinggian
1468,ktingian,ketinggian
1469,ktk,ketika
1470,ktka,ketika
1471,ktm,ketemu
1472,ktmpt,ketempat
1473,ktmu,ketemu
1474,ktmuan,ketemuan
1475,ktng,ketinggalan
1476,ktny,katanya
1477,ktnya,katanya
1478,ktor,kotor
1479,ktusuk,tertusuk
1480,kuangen,kangen
1481,kubawain,kubawakan
1482,kumaha,bagaimana
1483,kumplit,komplit
1484,kumpul2,kumpul-kumpul
1485,kumpulin,kumpulkan
1486,kunaon,kenapa
1487,kunjunganya,kunjungannya
1488,kunjungin,kunjungi
1489,kupayakan,kuupayakan
1490,kuper,kurang pergaulan
1491,kura2,kura-kura
1492,kurangin,kurangi
1493,kw,kau
1494,ky,seperti
1495,kya,seperti
1496,kyak,seperti
1497,kyaknya,sepertinya
1498,kyakx,sepertinya
1499,kyamanan,kenyamanan
1500,kyanya,sepertinya
1501,kyk,seperti
1502,kyke,sepertinya
1503,kyknya,sepertinya
1504,kykx,sepertinya
1505,kyky,sepertinya
1506,kyny,sepertinya
1507,kynya,sepertinya
1508,laba2,laba-laba
1509,laen,lain
1510,lainny,lainnya
1511,lainx,lainnya
1512,lainy,lainnya
1513,lainya,lainnya
1514,laki2,laki-laki
1515,lamo,lama
1516,lancar2,lancar-lancar
1517,lanjt,lanjut
1518,lansia,lanjut usia
1519,lapanganya,lapangannya
1520,laper,lapar
1521,laporanya,laporannya
1522,laporin,laporkan
1523,lathan,latihan
1524,latian,latihan
1525,latiannya,latihannya
1526,latianya,latihannya
1527,latihanya,latihannya
1528,lau,kau
1529,lautnye,lautnya
1530,lawanya,lawannya
1531,lawanye,lawannya
1532,lbang,lubang
1533,lbh,lebih
1534,lbih,lebih
1535,lbr,libur
1536,lbran,liburan
1537,lbrn,liburan
1538,lbur,libur
1539,lburan,liburan
1540,ldr,hubungan jarak jauh
1541,lengkapin,lengkapi
1542,lepasin,lepaskan
1543,letkol,letnan kolonel
1544,lg,lagi
1545,lgi,lagi
1546,lgsg,langsung
1547,lgsng,langsung
1548,lgsung,langsung
1549,lgu,lagu
1550,lgy,lagi
1551,lht,lihat
1552,liad,lihat
1553,liat,lihat
1554,liat2,lihat-lihat
1555,liatany,kelihatannya
1556,liatin,lihatin
1557,liatny,lihatnya
1558,liatnya,lihatnya
1559,liatnye,lihatnya
1560,liburin,liburkan
1561,lifestyle,gaya hidup
1562,link,tautan
1563,lipet,lipat
1564,lipi,Lembaga Ilmu Pengetahuan Indonesia
1565,lipstick,lipstik
1566,list,daftar
1567,living,tinggal
1568,lju,laju
1569,lkukn,lakukan
1570,lma,lama
1571,lma2,lama-lama
1572,lmak,lemak
1573,lmbr,lembar
1574,lmbt,lambat
1575,lmpu,lampu
1576,lmyan,lumayan
1577,lmyn,lumayan
1578,lncr,lancar
1579,lnganan,langganan
1580,lngganan,langganan
1581,lngkap,lengkap
1582,lngkp,lengkap
1583,lngsg,langsung
1584,lngsng,langsung
1585,lngsung,langsung
1586,lnjt,lanjut
1587,lnjut,lanjut
1588,lnjutnya,lanjutnya
1589,lntai,lantai
1590,lo,kamu
1591,local,lokal
1592,location,lokasi
1593,loe,kamu
1594,lokasiny,lokasinya
1595,lol,tertawa
1596,lom,belum
1597,loncat2,loncat-loncat
1598,longdistance,jarak jauh
1599,longweekend,liburan panjang akhir pekan
1600,longwekend,liburan panjang akhir pekan
1601,longwiken,liburan panjang akhir pekan
1602,looser,pecundang
1603,lowbet,baterai lemah
1604,lp,lupa
1605,lpa,lupa
1606,lpangan,lapangan
1607,lpas,lepas
1608,lt,lantai
1609,lu,kamu
1610,luh,kamu
1611,luhkan,kamu kan
1612,luka2,luka-luka
1613,lupain,lupakan
1614,lupe,lupa
1615,lw,kamu
1616,lwat,lewat
1617,lwn,lawan
1618,lwt,lewat
1619,lyt,lihat
1620,m0nas,monas
1621,m4ndiri,mandiri
1622,ma,sama
1623,ma2h,mamah
1624,ma2mu,mamahmu
1625,maav,maaf
1626,mabelasribu,lima belas ribu
1627,macacih,terimakasih
1628,macam2,macam-macam
1629,macem2,macam-macam
1630,macetnyo,macetnya
1631,maen,main
1632,maenan,mainan
1633,maenannya,mainannya
1634,maenannye,mainannya
1635,maenanya,mainannya
1636,maenanye,mainannya
1637,maenin,mainkan
1638,maenya,mainnya
1639,maf,maaf
1640,mafin,maafkan
1641,mafkan,maafkan
1642,mahal2,mahal-mahal
1643,main2,main-main
1644,mainy,mainnya
1645,mainya,mainnya
1646,makaci,terimakasih
1647,makai,memakai
1648,makanye,makanya
1649,makaseh,terimakasih
1650,makasih,terimakasih
1651,makasiy,terimakasih
1652,make,memakai
1653,makin2,makin-makin
1654,maksih,terimakasih
1655,maksude,maksudnya
1656,maksudnye,maksudnya
1657,maksudx,maksudnya
1658,maksut,maksud
1659,maksutnya,maksudnya
1660,mal,mall
1661,malam2,malam-malam
1662,maleh,lagi
1663,malem,malam
1664,males,malas
1665,malming,malam minggu
1666,malu2in,malu-maluin
1667,mamany,mamahnya
1668,mananye,mananya
1669,mane,mana
1670,mane2,mana-mana
1671,maneh,lagi
1672,manfaatin,manfaatkan
1673,manfat,manfaat
1674,manfatin,manfaatkan
1675,manfatkan,manfaatkan
1676,mangaku,mengaku
1677,mangane,makannya
1678,manggil2,manggil-manggil
1679,manggl,manggil
1680,mangil,manggil
1681,mangil2,manggil-manggil
1682,mangis,manggis
1683,mangkane,makanya
1684,mangkanya,makanya
1685,mangkanye,makanya
1686,mangku,memangku
1687,mangl,manggil
1688,mangnya,memangnya
1689,mangung,manggung
1690,mangungnya,manggungnya
1691,maning,lagi
1692,manis2,manis-manis
1693,manjain,manjakan
1694,mantab,mantap
1695,mantabh,mantap
1696,mantabp,mantap
1697,mantabs,mantap
1698,mantaf,mantap
1699,mantaps,mantap
1700,mantapz,mantap
1701,manteb,mantap
1702,mantebp,mantap
1703,mantemand,teman-teman
1704,mantep,mantap
1705,manteub,mantap
1706,manthap,mantap
1707,manusia2,manusia-manusia
1708,manut,ngikut
1709,manutd,ngikut
1710,mao,mau
1711,maonya,maunya
1712,map,maaf
1713,map2,maaf-maaf
1714,mapin,maafkan
1715,marah2,marah-marah
1716,marang,kepada
1717,maren,kemarin
1718,married,menikah
1719,masal,massal
1720,masalahny,masalahnya
1721,masalh,masalah
1722,masama,sama-sama
1723,masang,memasang
1724,mash,masih
1725,masi,masih
1726,masing2,masing-masing
1727,masjed,masjid
1728,mastiin,memastikan
1729,mastikn,memastikan
1730,mastin,memastikan
1731,masya,masyaAllah
1732,MasyaAlah,masyaAllah
1733,masyalah,masyaAllah
1734,mateng,matang
1735,matiin,matikan
1736,matikn,matikan
1737,matin,matikan
1738,maunye,maunya
1739,max,maksimal
1740,maximum,maksimal
1741,maybe,mungkin
1742,mb,mbak
1743,mba,mbak
1744,mbake,mbaknya
1745,mbaku,mbakku
1746,mbalek,balik
1747,mbalekno,kembalikan
1748,mbalik,balik
1749,mbanya,mbaknya
1750,mbaq,mbak
1751,mbek,sama
1752,mbiyen,dahulu
1753,mbk,mbak
1754,mboten,tidak
1755,mbrikan,memberikan
1756,mbuat,membuat
1757,mbwa,membawa
1758,mcam,macam
1759,mcetnya,macetnya
1760,mcm,macam
1761,mcm2,macam-macam
1762,mdg,mending
1763,mdh,mudah
1764,mdh2an,mudah-mudahan
1765,mdh2n,mudah-mudahan
1766,mdingan,mendingan
1767,mekah,mekkah
1768,melakukanya,melakukannya
1769,melangar,melanggar
1770,melu,ikut
1771,memasukan,memasukkan
1772,membalikan,membalikkan
1773,membiarkanya,membiarkannya
1774,membutuhkn,membutuhkan
1775,memgumpulkan,mengumpulkan
1776,memikirkanya,memikirkannya
1777,memperingatai,memperingati
1778,mempermslhin,mempermasalahkan
1779,mempertangungjawabkanya,mempertanggungjawabkannya
1780,memprduksi,memproduksi
1781,mempromosika,mempromosikan
1782,menaklukan,menaklukkan
1783,menakotkan,menakutkan
1784,menangapi,menanggapi
1785,menangungnya,menanggungnya
1786,mendonlot,mengunduh
1787,mendownload,mengunduh
1788,mendpat,mendapat
1789,mendptkan,mendapatkan
1790,meneng,diam
1791,mengabulkanya,mengabulkannya
1792,mengagalkan,menggagalkan
1793,mengalahkn,mengalahkan
1794,mengambar,menggambar
1795,mengambarkan,menggambarkan
1796,mengandeng,menggandeng
1797,mengangap,menganggap
1798,mengangu,mengganggu
1799,menganguk,mengangguk
1800,menganti,mengganti
1801,mengantung,menggantung
1802,mengasikan,mengasyikkan
1803,mengasyikan,mengasyikkan
1804,mengatakn,mengatakan
1805,mengelar,menggelar
1806,mengeliat,menggeliat
1807,mengelinding,menggelinding
1808,mengelitik,menggelitik
1809,mengembirakan,menggembirakan
1810,mengen2in,membuat kepingin
1811,mengeringkanya,mengeringkannya
1812,menggunakn,menggunakan
1813,menggunkan,menggunakan
1814,menggunkn,menggunakan
1815,mengirimkn,mengirimkan
1816,mengktfka,mengaktifkan
1817,mengoda,menggoda
1818,mengugah,menggugah
1819,mengunakan,menggunakan
1820,mengunakn,menggunakan
1821,menguncang,mengguncang
1822,mengunkan,menggunakan
1823,mengunkn,menggunakan
1824,menheningkan,mengheningkan
1825,menhub,menteri perhubungan
1826,meningal,meninggal
1827,meningalkan,meninggalkan
1828,meningalnya,meninggalnya
1829,menungang,menunggang
1830,menungu,menunggu
1831,menungumu,menunggumu
1832,menunjukan,menunjukkan
1833,menyengol,menyenggol
1834,merayakanya,merayakannya
1835,merit,menikah
1836,mesinya,mesinnya
1837,mesjid,masjid
1838,met,selamat
1839,mewah2,mewah-mewah
1840,meweg,mau nangis
1841,mewek,mau nangis
1842,mgalami,mengalami
1843,mggelar,menggelar
1844,mggu,minggu
1845,mghntarkan,menghantarkan
1846,mgkin,mungkin
1847,mgkn,mungkin
1848,mgkt,berangkat
1849,mgok,mogok
1850,mhn,mohon
1851,mhon,mohon
1852,mhsiswamu,mahasiswamu
1853,mi apah,demi apa
1854,miapa,demi apa
1855,miapah,demi apa
1856,miapeh,demi apa
1857,mikir,berfikir
1858,mikir2,berfikir-fikir
1859,mikiran,suka berfikir
1860,mikiri,memikirkan
1861,mikirin,memikirkan
1862,mikirkeun,memikirkan
1863,mikirny,berfikirnya
1864,mikirnya,berfikirnya
1865,milikny,miliknya
1866,miliku,milikku
1867,mingir,minggir
1868,mingu,minggu
1869,mingu2,minggu-minggu
1870,minguan,mingguan
1871,mingunya,minggunya
1872,mingux,minggunya
1873,mint,minta
1874,mintain,mintakan
1875,misalny,misalnya
1876,mjd,menjadi
1877,mka,maka
1878,mkan,makan
1879,mkanya,makanya
1880,mkasih,terimakasih
1881,mkmur,makmur
1882,mkn,makan
1883,mknan,makanan
1884,mknya,makanya
1885,mks,terimakasih
1886,mksd,maksud
1887,mksdnya,maksudnya
1888,mksh,terimakasih
1889,mksi,terimakasih
1890,mksih,terimakasih
1891,mksimal,maksimal
1892,mksod,maksud
1893,mksud,maksud
1894,mksudny,maksudnya
1895,mksudnya,maksudnya
1896,mlah,malah
1897,mlai,mulai
1898,mlaku,jalan
1899,mlaku2,jalan-jalan
1900,mlakukan,melakukan
1901,mlakune,jalannya
1902,mlam,malam
1903,mlaz,malas
1904,mlebu,masuk
1905,mledug,meledak
1906,mleduk,meledak
1907,mlem,malam
1908,mlepas,melepas
1909,mles,malas
1910,mlggr,melanggar
1911,mlgr,melanggar]
1912,mlh,malah
1913,mlihat,melihat
1914,mlintas,melintas
1915,mlkukan,melakukan
1916,mlm,malam
1917,mlm2,malam-malam
1918,mlmnya,malamnya
1919,mls,malas
1920,mlulu,melulu
1921,mmbahana,membahana
1922,mmbawaku,membawaku
1923,mmbedakan,membedakan
1924,mmbeli,membeli
1925,mmbhyakn,membahayakan
1926,mmbrikan,memberikan
1927,mmbuat,membuat
1928,mmbutuhkan,membutuhkan
1929,mmg,memang
1930,mmiliki,memiliki
1931,mmperkuat,memperkuat
1932,mmperpanjang,memperpanjang
1933,mmpi,mimpi
1934,mmpr,mampir
1935,mmprlihatkn,memperlihatkan
1936,mmprsiapkn,mempersiapkan
1937,mmpu,mampu
1938,mmpus,mampus
1939,mn,mana
1940,mna,mana
1941,mnang,menang
1942,mnangkan,menangkan
1943,mnara,menara
1944,mnarik,menarik
1945,mncapai,mencapai
1946,mncari,mencari
1947,mncri,mencari
1948,mndadak,mendadak
1949,mndapatkn,mendapatkan
1950,mndat,mandat
1951,mnding,mending
1952,mndingan,mendingan
1953,mndok,mondok
1954,mndonkrak,mendongkrak
1955,mndptkan,mendapatkan
1956,mndukung,mendukung
1957,mndukungnya,mendukungnya
1958,mndung,mendung
1959,mne,mana
1960,mnfaat,manfaat
1961,mngalami,mengalami
1962,mngalir,mengalir
1963,mngeluarkan,mengeluarkan
1964,mngenang,mengenang
1965,mngendarai,mengendarai
1966,mngerti,mengerti
1967,mnggl,manggil
1968,mnggu,minggu
1969,mngguan,mingguan
1970,mnggunakan,menggunakan
1971,mnggunkn,menggunakan
1972,mnghadap,menghadap
1973,mnghamili,menghamili
1974,mngharap,mengharap
1975,mngheningkan,mengheningkan
1976,mngis,manggis
1977,mngkel,kesal
1978,mngkin,mungkin
1979,mngkn,mungkin
1980,mngkne,makanya
1981,mngkonyo,makanya
1982,mngnai,mengenai
1983,mngsudnye,maksudnya
1984,mngu,minggu
1985,mnguan,mingguan
1986,mngunakan,menggunakan
1987,mngunkn,menggunakan
1988,mnikah,menikah
1989,mnikmti,menikmati
1990,mnis,manis
1991,mnitikberatkan,menitikberatkan
1992,mnjadi,menjadi
1993,mnjd,menjadi
1994,mnjdi,menjadi
1995,mnjem,meminjam
1996,mnjunjung,menjunjung
1997,mnjwab,menjawab
1998,mnnti,menanti
1999,mnrt,menurut
2000,mnt,minta
2001,mnta,minta
2002,mntain,mintakan
2003,mntannya,mantannya
2004,mntanya,mantannya
2005,mntap,mantap
2006,mnti,menanti
2007,mnual,manual
2008,mnuggu,menunggu
2009,mnugu,menunggu
2010,mnuju,menuju
2011,mnum,minum
2012,mnungGu,menunggu
2013,mnungu,menunggu
2014,mnunjukan,menunjukkan
2015,mnunjukkan,menunjukkan
2016,mnurut,menurut
2017,mnurutmu,menurutmu
2018,mnusia,manusia
2019,mnyamar,menyamar
2020,mnyusul,menyusul
2021,mo,mau
2022,modifan,hasil modifikasi
2023,modification,modifikasi
2024,modified,dimodifikasi
2025,modifikasiin,modifikasikan
2026,modifikasin,modifikasikan
2027,moh,tidak mau
2028,momendnya,momennya
2029,moment,momen
2030,moments,momen
2031,momenya,momennya
2032,monasny,monasnya
2033,monday,senin
2034,Mondays,senin
2035,money,uang
2036,monkey,monyet
2037,month,bulan
2038,monyetna,monyetnya
2039,morning,pagi
2040,mornings,pagi
2041,moro,datang
2042,moro2,datang-datang
2043,morosotkeun,memerosotkan
2044,mother,ibu
2045,motoin,mengambil foto
2046,motone,cara mengambil fotonya
2047,motor2,motor-motor
2048,motr,motor
2049,mpe,sampai
2050,mpek,sampai
2051,mpempek,pempek
2052,mperkuat,memperkuat
2053,mperpanjang,memperpanjang
2054,mpun,sudah
2055,mpunya,punya
2056,mrah,marah
2057,mrah2,marah-marah
2058,mrantau,merantau
2059,mrasa,merasa
2060,mrasakany,merasakannya
2061,mrek,mereka
2062,mreka,mereka
2063,mrh,marah
2064,mrhn,marahan
2065,mri,mari
2066,mridnya,muridnya
2067,mriki,kesini
2068,mrinding,merinding
2069,mrip,mirip
2070,mrk,mereka
2071,mrka,mereka
2072,mrono,kesana
2073,mrp,merupakan
2074,mrpti,merpati
2075,mrupakn,merupakan
2076,msak,masak
2077,msalah,masalah
2078,msg,masing
2079,msg2,masing-masing
2080,msh,masih
2081,msih,masih
2082,msing2,masing-masing
2083,msjid,masjid
2084,mski,meski
2085,mskipun,meskipun
2086,mslah,masalah
2087,mslahnya,masalahnya
2088,mslh,masalah
2089,mslhnye,masalahnya
2090,msng,masing
2091,msog,masak
2092,msohan,musuhan
2093,msok,masak
2094,mst,mesti
2095,msti,mesti
2096,msuk,masuk
2097,msukin,masukkan
2098,msuknya,masuknya
2099,mtor,motor
2100,mtor2,motor-motor
2101,mtore,motornya
2102,mtornya,motornya
2103,mtr,motor
2104,mudah2an,mudah-mudahan
2105,mugi,semoga
2106,mugi2,moga-moga
2107,mukax,mukanya
2108,mulay,mulai
2109,muluk2,berlebihan
2110,mumpng,mumpung
2111,mungah,naik
2112,music,musik
2113,musim2,musim-musim
2114,musium,museum
2115,mustinya,mestinya
2116,muter,berputar
2117,muter2,berputar-putar
2118,mw,mau
2119,mwah,mewah
2120,myname,namaku
2121,mz,mas
2122,nabrak,menabrak
2123,naek,naik
2124,nais,nice
2125,naitu,nah itu
2126,nama2,nama-nama
2127,namany,namanya
2128,namanye,namanya
2129,nambah,bertambah
2130,nambah2,nambah-nambah
2131,name,nama
2132,named,dinamai
2133,names,nama
2134,nanganin,menangani
2135,nanges,nangis
2136,nanya,bertanya
2137,nanyain,menanyakan
2138,naon,apa
2139,napa,kenapa
2140,napah,kenapa
2141,nape,kenapa
2142,narcis,narsis
2143,nari,menari
2144,naro,naruh
2145,nasgor,nasi goreng
2146,nasgornya,nasi gorengnya
2147,navigation,navigasi
2148,ndadak,mendadak
2149,ndak,tidak
2150,ndakpapa,tidak apa-apa
2151,ndang,buruan
2152,ndek,sejak
2153,ndelik,bersembunyi
2154,ndelok,melihat
2155,ndengkur,mendengkur
2156,ndi,mana
2157,ndk,tidak
2158,ndodok,jongkok
2159,nduwe,punya
2160,nebelin,menebalkan
2161,need,butuh
2162,needed,dibutuhkan
2163,needs,kebutuhan
2164,negative,negatif
2165,negra,negara
2166,negri,negeri
2167,neh,nih
2168,nelepon,menelpon
2169,nelfon,menelpon
2170,nelor,bertelur
2171,nelp,menelpon
2172,nelpon,menelpon
2173,nelv,menelpon
2174,nelvon,menelpon
2175,nemanin,menemani
2176,nembak,menembak
2177,nembaknya,menembaknya
2178,nembaknye,menembaknya
2179,nembus,menembus
2180,nemen,banget
2181,nemenin,menemani
2182,nemu,menemukan
2183,nemuin,menemui
2184,nemuinnya,menemuinya
2185,nemuinya,menemuinya
2186,nemunya,menemukannya
2187,nenangin,menenangkan
2188,nendang,menendang
2189,nenek2,nenek-nenek
2190,nengheningkan,mengheningkan
2191,nengkene,disini
2192,nengkono,disana
2193,nengok,menengok
2194,nengokin,menengoki
2195,nenteng,membawa
2196,nenteng2,membawa
2197,nepatin,menepati
2198,nerusin,meneruskan
2199,netter,pengguna internet
2200,network,jaringan
2201,never,tidak pernah
2202,nevermind,tidak usah dipikirkan
2203,news,berita
2204,ngabadiin,mengabadikan
2205,ngabadin,mengabadikan
2206,ngabarin,mengabari
2207,ngabisin,menghabiskan
2208,ngabohong,berbohong
2209,ngabolang,berpetualang
2210,ngaca,berkaca
2211,ngacir,kabur
2212,ngadain,mengadakan
2213,ngadem,berteduh
2214,ngademin,meneduhkan
2215,ngadep,menghadap
2216,ngadirin,menghadiri
2217,ngadu,mengadu
2218,ngagetin,mengagetkan
2219,ngajak2,ngajak-ngajak
2220,ngajakgue,mengajak saya
2221,ngajakinya,mengajaknya
2222,ngajari,mengajari
2223,ngajarin,mengajari
2224,ngak,tidak
2225,ngakak,tertawa
2226,ngakuin,mengakui
2227,ngalah,mengalah
2228,ngalahin,mengalahkan
2229,ngalihin,mengalihkan
2230,ngalir,mengalir
2231,ngambang,mengambang
2232,ngambil,mengambil
2233,ngambilin,mengambilkan
2234,ngambilnya,mengambilnya
2235,ngampus,pergi ke kampus
2236,ngamuk2,mengamuk-ngamuk
2237,ngancani,menemani
2238,ngancurin,menghancurkan
2239,ngandeng,menggandeng
2240,ngangap,menganggap
2241,ngangenin,membuat kangen
2242,ngangge,menggunakan
2243,nganggo,menggunakan
2244,ngangguk,mengangguk
2245,ngangur,menganggur
2246,nganjel,mengganjal
2247,nganter,mengantar
2248,nganterin,mengantarkan
2249,nganti,sampai
2250,ngantongi,mengantongi
2251,ngantongin,mengantongi
2252,ngantor,pergi ke kantor
2253,ngantre,mengantri
2254,ngantri,mengantri
2255,ngantrinya,mengantrinya
2256,ngantuks,mengantuk
2257,ngapa2in,ngapa-ngapain
2258,ngapal,menghafal
2259,ngapalin,menghafalkan
2260,ngape,ngapain
2261,ngapo,ngapain
2262,ngapusi,berbohong
2263,ngara,negara
2264,ngarah,mengarah
2265,ngarang,mengarang
2266,ngaranye,negaranya
2267,ngarap,mengerjakan
2268,ngarep,berharap
2269,ngarepane,harapannya
2270,ngarepin,mengharapkan
2271,ngaret,telat
2272,ngarti,mengerti
2273,ngaruh,berpengaruh
2274,ngash,memberi
2275,ngasi,memberi
2276,ngasih,memberi
2277,ngasih2,memberi
2278,ngasihnya,memberinya
2279,ngaso,istirahat
2280,ngasuh,mengasuh
2281,ngatain,mengatakan
2282,ngatasi,mengatasi
2283,ngatasin,mengatasi
2284,ngatur,mengatur
2285,ngawasin,mengawasi
