komentar,kategori
Udah miskin gak dak etika sopan santun miris,hate speech
Cocok kerja di gedung DPR. Jadi tukang ngeludah ke anggota DPR yang tidur saat sedang rapat,hate speech
"saya sama teman malah pernah di makiÂ² sama pengamen nya masih muda banget, kata AbangÂ² yang jualan sekitar sana memang orgnya kalau ngk di kasih suka ngomong kasar dan sampai saya jalan pun teriak ngomong kasar",hate speech
"Org cacat tanpa daya mungkin bisa dibilang wajar mengemis, ini masih bisa jalan dikasih tubuh sempurna masih ngemis, yang cacat akhlak nya kayanya ðŸ¤¦",hate speech
"sekarang kita tau, knp dia hidupnya selelu kekurangan... karna malas kurang bersyukur dan tidak punya adab akhlak",hate speech
Sebenarnya kasih aja sanksi karena dia tidak begal curi bunuh... ,hate speech
CEPAT BANGET NANGKAP NYA DAN DI PENJARA.. DANDY GImana?? sambo yang udaha terbukti juga kan,hate speech
Biasanya pengemis yang suka maksa2 nih yang begini yang gak dikasih suka ngedumel ngomel2,hate speech
Ini ngemis penghasilannya udah kayak koruptor jadi tengil... ðŸ¤£,hate speech
"Fix ini orangnya yang mingu kemarin ngamuk2 di kantor saya minta sedekah ga di kasih teman saya di lempar  pot bunga,  udah ketangkep jadi ga meresahkan lagi",hate speech
kalau bisa para pengemis ini kalau dah di tangkap keningnya di TATO dengan huruf AKU PENGEMIS SEJATI,hate speech
Mulut Lo berbisa bau jigongðŸ˜‚,hate speech
Mending di mati'in sia anjing,hate speech
Udah jadi pengemis kurangajar lagi,hate speech
"udah miskin, goblok lagi",hate speech
DIAM TOLAH TOLEH BERGERAK DI PENJARA,hate speech
udah pengemis gk ada attitude pula… miskin otak miskin harta,hate speech
Pengemis sekarang meresahkan sekaliðŸ˜« pengamen jg kalau ga di kasih marah2 ,hate speech
Odgj kah.. ?? Makanya kesal kalau lg di lampu merah maksa kaya kesal sndiri.. semoga cepat mati dah,hate speech
Kere dan sombong plus kurang ajar pantes mi ditangkap saja,hate speech
Sensitive banget sih harus ditangkep polisi. Kalau yang diatas atas segercep itu ngak yah kalau koruptor.,hate speech
"pernah nih, disarinah ada pengemis ibu2 minta uang ga dikasih saya diludahin sampai reak nya nempel di kaki ðŸ˜¡",hate speech
"Emang meresahkan si ini orang, wajar kan ditegur malah dia ngamuk dan ngeludah juga",hate speech
Miskin. Gatau diri,hate speech
ngemis aja,hate speech
"Giliran kaum rendah cepat banget tangkap, coba kalau anak pejabat bisa berjilid2 baru masuk penjara ðŸ˜‚ðŸ˜‚",hate speech
Makin banyak org goblok,hate speech
"AYO SERENTAK JANGAN KASIH APAPUN KE PENGEMIS, ITU HANYA MEMBUAT RAKYAT MENJADI MALAS BEKERJA",hate speech
wuih sampai ngidoni loh. sumpah aku jijik­,hate speech
"Kaki tangan sehat, tapi milih jd pengemisðŸ˜¢",hate speech
"sekarang memang banyak pengemis meresahkan, kalau gak dikasih marahÂ² gak jelas, kadang ada yang sampai baretÂ²in mobil  jg",hate speech
"Habis ditangkap ,ga usah ngemis lagi dapat jatah makan dipenjaraðŸ˜",hate speech
Uda miskin goblok pulaðŸ˜«,hate speech
"Miskin harta, miskin akhlak !",hate speech
Udah ngemis . Otak pun minus . Kebiasaan hidup minta minta jadi otaknya habis dimakan dinosaurus:),hate speech
"Dih pernah banget ngalamin gini juga, GaK aku kasih dengan sopan menuruntuku (mohon maaf dengan isyarat) eh malah gedor2 kaca dan ngeludahin.. serem banget padahal cewek..",hate speech
"Ini yang paling dibenci dalam agama, udah miskin sombong. Hari gini ngemis bukan berarti org susah, banuyak yang ketahuan punya rumah gede di kampung, ada yang hura2 staycation",hate speech
"Emang kurang ajar pengemis SMA pengamen sekarang ,kalau gak di kasih maksa.. atau ngomong kasar ,atau ngeledek",hate speech
"Serah dia lah, yaelah netizen indo.. lu orang juga pada ngentot sana sini, bedanya cuma ga viral doang. Pada bacot bangetðŸ¥±",hate speech
"Kenakalan remaja tuh cabut kuliah, minum, berantem. Nah ini bukan kenakalan remaja lg sih wkwk emang bandel ðŸ˜‚",hate speech
"Nanti udah bunuh diri ni anak, baru pada saling nyalahin.. susah memang yang si paling sempurna ini..",hate speech
"Lagi kayak pada suci aja Lo Lo pada, bedanya kalian tuh gak viral tapi si becca viral,, kok ya sukanya pada menghujat",hate speech
"TOLOL nya netizen +62 tuh begini, idola nya berbuat asusila jg di bela terus sampai mati.",hate speech
"Gobloknya banyak yang dukung anjir ,itumah cobaan, kasihan banget hancurin hidup orang, ini pada ngarep giveaway apa gimana yaðŸ˜‚ðŸ—¿,",hate speech
" sesama wanita saya tidak merasa kasihan tapi malu sumpah, buat apa sih ngrekam diri sendiri lagi bugil , kalau pas lagi sama lakiknya itu yang ngrekam si lakik ya jelas becca bisa dibilang korban, tapi kalau dia sendiri yang nge rekam apa bisa disebut korban? ",hate speech
Netizen yang ngebela tanpa sadar dibego2in.  Lain kali jadi netizen so so aja lah suka boleh fanantik goblok jangan ðŸ¤£ðŸ¤£ðŸ¤£,hate speech
"perempuan kalau udah jatuh cinta, tolol nya kelewatan ya wkwk",hate speech
TOMBOL YANG SETUJU COUPLENYA IKUT DI PENJARA >>,hate speech
"Semua yang ada dilokasi saat itu yang harus ditangkap, bukan cuma sekedar , udah ada bukti juga kan mereka cuma santai aja saat api udah membesar",hate speech
pernikahan yang di murkai alam.. ðŸ˜‚,hate speech
Belum juga sah udah membawa musibah,hate speech
Calon pengantin ter goblok 2023,hate speech
"Belum nikah aja udah bencana, plis batalin aja takutnya malah kiamatðŸ˜‚",hate speech
Mbak Mas mending ga usah nikah deh soal nya kutukan seindonesia raya udah keluar dari mulut netizen ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ ,hate speech
Fix sih ini calon manten nya harus jadi tersangka sama ganti rugi,hate speech
Netizen saatnya bertugas cari siapa pengantinnya . Kita kawal sampai masuk penjara semua,hate speech
"Calon penganten babi, ngerusak lingkungan ajah anjir ! Ayo netizen desak terus pihak kepolisian, semua yang ada di kejadian harus jadi tersangka bukan cuman wajib lapornya ajah ! ",hate speech
"punya mobil, gapunya otak",hate speech
wkwk mobil bagus otaknya gaada ðŸ˜‚,hate speech
Intinya mah catat apa nama perusahaan busnya laporin kalau perlu pecat supirnya selesai inti semua permasalahan dari bus itu haha,hate speech
"TEREKAM JELAS. ADA UNSUR PIDANANYA. MASA IYA @divisihumaspolri NGGAK BISA NYELESAIIN. JIKA SUATU KESALAHAN YANG NYATA DIBIARKAN, LALU APA GUNA KALIAN.",hate speech
TOMBOL 2024 GANTI RAKYAT >>>,hate speech
"cuman mau bilang di negeri kita udah krisis orang yang gak bisa dibilangin, ngerasa apa yang dilakuin itu paling benar!",hate speech
TOMBOL GAK PEDULI >>>,hate speech
"Prewedding yang berubah menjadi bencana, nyusahin orang lagi, udah di tangkap sih photographer ya, yang ganti ruginya siapa??, tempat wisata jadi pada tutup loh, gak ekspektasi akan sebesar ini loh ðŸ˜®",hate speech
Jangan cuma WO yang di hukum! Calon pengantinnya jg harus di proses! Pokoknya semua mereka itu di proses. ! Asli si calonnya harus tanggungjawab ini woy harus jadi tersangka utama!!,hate speech
.baru juga mau kesanaâ€¦. ini yang bikin foto2 pre wedding pake Flareâ€¦. harus banget sih dikenakan hukuman bareng2â€¦merugikan banget ¦merusak alam.. spill lah akun2 biang keladinyaâ€¦.,hate speech
  Penutupan tempat wisata karena kecerobohan orang tolol âœ…,hate speech
"yang wedding apa kabar, kebal hukumkah karna berduit, seolah2 gak ada yang bernyali untuk prosesnya ..??",hate speech
"Harusnya semua yang terlibat di prewed membawa bencana itu di Hukum sih! Spill IG Mantennya dong ,",hate speech
TOLONG TANGKAP DAN PENJARAKAN KEDUA PASANGAN TERSEBUT JANGAN CUMA WO,hate speech
KAN! sampai MEREMBET ðŸ”¥ðŸ”¥ Bego KAN!! LU GATAU APA BUAT NANEM NYA AJA BUTUH PROSES PANJANG DAN TAHUN tapi DIRUSAK SM HAL KONYOL,hate speech
"MANUSIA GA ADA OTAK EMANG, MANTENNYA JUGA DONG SERET !! mereka yang sesungguhnya lebih lalai dan gak ngotak buang flare ke semak, kalau ngotak ya ga kaya gini",hate speech
Tolol,hate speech
Goblok anjing¢,hate speech
Tolong DAMKARnya halangin kalau datangðŸ˜‚,hate speech
Emang karnaval faedahnya apa sihh..?? Bukannya ngeganggu yahh ðŸ¤”ðŸ¤”,hate speech
"Parade sound besar sering merusak, kebakar biarin lahðŸ‘‰",hate speech
akhirnya kena azabðŸ™ðŸ»,hate speech
"Ngapain lah sama bocah kek gitu Asnawi ðŸ˜‚ lebih bagus cari yang biasa aja,nanti takut banyak drama gak jelas nya, belum lagi fans gila\ dia itu ngeriðŸ˜‚",hate speech
"syarat jadi wartawan itu apa sih gais serius nanya , knp sekarang wartawan pertanyaan nya macam ndak sekolah",hate speech
Wartawan sekarang serius pertanyaan nya begini? Kaya nggak sekolah,hate speech
Mereka di adu domba gak sih. Fans sana nuding pihak sini sewa buzer begitu sebaliknya.,hate speech
"WARTAWAN GAK BERKAH LHO HASIL ADU DOMBA ORANG~~ orang udah baik2 aja masih aja digoreng2, yang bikin keruh suasana tuh wartawan deh sebenarnya miris",hate speech
saya jd dia mah saya jawab aja â€œapansi mas lu nanya yang logika dikit kek bikin malu profesi aja anjing,hate speech
yang Nakal itu sebnernya WARTAWAN ga sih yang ngasih Pertanya2an yang ngundang EMOSI? ðŸ˜¢ jadinya kan FITNAH kalau kayak gitu .,hate speech
"Mau2an di adu domba sm netizen, antar fans saling serang akhirnya.",hate speech
 pantes dibilang sombong tiap ditanya wartawan bawaannya emosi selo aja bocah emang ga bisa jaga emosi sih nih periksa ,hate speech
mohon maaf ini wartawan S1 bukan sih? Berpendidikan tapi pertanyaannya kek nanyain 'dengkulmu dimana?',hate speech
"Kaya syarat jadi wartawan skarenag gak perlu punya wawasan luas, terus lulusan perguruan tinggi deh y a… lu pinter ngebacot sama bisa ngerekam pake hp kamera juga udah bisa masuk kualifikasi kayanya",hate speech
"DI SINI LAPAK PENUH dengan IBLIS  ASTAGFIRULLAH ,SEMOGA cepat TAUBAT SEBELUM MATI HANCUR",hate speech
yang tuding tu dari netizen dari wrtawan yang kompor org org suka banget adu domba org,hate speech
"Giliran yang jelas2 ada bukti.. saudara si thor ngatain anjing ,bangsat ke fuji kaga ditanyaðŸ˜‚ðŸ˜‚ðŸ˜‚",hate speech
"Hina banget wartawannya, cari makan sampai harus kayak gitu. mending coret aja dari KK, malu maluin banget.",hate speech
"TIKTOK MERUSAK RANTAI PERDAGANGAN, MERUSAK HARGA PASAR, MENGHANCURKAN UMKM.. ",hate speech
"TIKTOK MERUSAK RANTAI PERDAGANGAN , MERUSAK HARGA PASAR , MENGHANCURKAN !!!!!",hate speech
Blokir aja sih tiktok di indo .. nyampah anjing ðŸ˜‚ðŸ˜‚,hate speech
" sim yang DIBAHAS ITU MONOPOLI. DIMANA TIKTOK IKUTAN JUALAN SEMENTARA TIKTOK KAN MENGUASAI ALOGARITMA PENJUALAN,, ITU yang BAKAL MATIIN UMKM LAINNYA. BUKAN SEMUA JUALAN BAKAL DILARANG DI TIKTOK.  Kambing lo Piara.. Bukan keBodohan",hate speech
"emoga aplikasi tiktok di musnahkan aja di indonesia, karna semenjak adanya tiktok umkm indonesia sangat menurun drastis",hate speech
Bisa gak itu penumpang yang nyolot dan provokatif dikasih pelajaran.. minimal kena hujatan mulut netizen... ,hate speech
"Tolol itu orang merong2, jangan naik pesawat kau kalau gak mau siap hadapi maslah. Naik angkot aja terus naik perahu. Dia ini nambahin kepanikan orang.  Jadi oksigen berkurang,  dia pikir hanya hidungnya doang yang bisa hirup udara.",hate speech
Orang kampung baru naik pesawat,hate speech
"Lion grup emang lengkap, selain menyediakan pelayananan berbasis kepanikan, mereka juga menerima penumpang yang berpengetahuan rendahðŸ˜‚",hate speech
"bapaknya takut mati - tapi malah mau bunuh diri , panik boleh tapi jangan di buka pintu darurat , kalau bapaknya mau mati sendiri jangan ajak penumpang lain .",hate speech
"kalau sampai pengantinnya aman perkara dia anak org kaya ,saya sumpahi pernikahan lu gak berkah!!!",hate speech
INDENTITAS PENGANTIN NYA MANA ?? APA KARENA ANAK ORANG KAYA SAMPAI SAAT INI BELUM TERKUAK IDENTITAS NYA ðŸ˜‚,hate speech
Selain dipenjara hukum dengan menanam 1000 pohon di area yang terbakar,hate speech
"gila ya lambe turah apa"" di up, padahal ini karya lagu bukan nyindir siapa"" kok captionnya seolah Mimin ini adu domba",hate speech
"Netisen budiman itu lagu yahh ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ makanya punya hati jangan busuk"" Jadi gak buruk mulu pikiran ny",hate speech
Gunanya tes akademik masuk polisi apa? Kalau kenyataannya nanganin warga otaknya ga digunain,hate speech
kalau ada yang mati gara gara gas air mata apakah aparat mau tanggung jawab? Oh tentu tidak bukan,hate speech
"Kalau ada korban anak SD, yang harus disalahkan sudah pasti ANGIN Kencang yang berhembus",hate speech
Ketika otak lupa di bawa..,hate speech
"Tamu KTT asean dijamu VVIP, warga sendiri disiksa. ðŸ˜¢ðŸ˜¢",hate speech
"giliran sipil aja ga mikir pake gas air mata, noh  mario dandy dikasih baju polo + barbershop di dalam penjara",hate speech
"Dan terjadi lagi, tragedi kanjuruhan belum mndapat keadilan. AWAS AJA MASIH SALAHIN ANGIN ðŸ’”",hate speech
Org istana berfoya2 (KTT ASEAN) sedangkan di pelosok bertaruh nyawa,hate speech
DAH ITU ANGIN yang DI FITNAH,hate speech
Tradisi membantai masyarakat keren pak pol ðŸ‘ðŸ‘,hate speech
"Oknum kan memang begitu,, kalau yang dihadapi Koruptor, Begal, Geng motor, Atau Ormas gk bakalan ada tindakan keras, karena apa.? Yah kalau gak ada beking, berarti ada amplop..",hate speech
"Aparat akhir zaman udah kaya Binatang tidak Tahu mana yang salah dan Benar, hanya mengikuti perintah Majikannya ðŸ˜¤ðŸ˜¤",hate speech
Acab kontol!!,hate speech
se GOBLOK GOBLOK nya GOBLOK ya kalian!!!,hate speech
Calon pengantin pembawa sial!!! Penjara semua nya!!! Konsep jg ga bakal terjadi kalau manten nya ga mau!!! 50 hektar ke bakar,hate speech
TOLOL ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,hate speech
"""polisi goblok"" Lah baru sadar pak ðŸ˜‚",hate speech
Iring2an rombongan tamu negara aja dia terobos... apalagi kami2 warga sipil... udah lagi macet aja srobot2 strobo klakson dihidupin semua...,hate speech
"ga kebayang kalau itu ternyata teroris atau mau sabotase, ,tinggal tabrakin aja ke mobil delegasi terus meledak,, udah kaya film2… jadi gtu ya caranya buat para teroris : ambil mobil polisi, tutup kaca, udah bisa gerak bebas nembus barisan",hate speech
"â€œPolisi goblok!â€, kata polisi.",hate speech
polisi goblok . Monggir ðŸ˜‚ðŸ˜‚ .,hate speech
 bodoh teriak bodoh jugaa,hate speech
"Enak banget yah ngomongnya, POLISI GOBLOK!! MINGGIRðŸ˜‚",hate speech
"lakinya aja model begitu pasti suka nongkrong di karaoke yang banyak LC nya, makanya dapat istri spek LCðŸ¤­",hate speech
"memang pantes dicopot. Setidaknya gak dipecat, jadi bisa buat pembelajaran lebih baik, kalau emang dijadikan pembelajaran sama mreka.",hate speech
DICOPOT DOANG APA DIPECAT INI? KAWAL sampai PECAT POKOKNYA !!!,hate speech
"Definisi Pasangan adalah cerminan diri, selama ini mungkin merasa berkuasa eh ketemu anak SMA yang magag, hancur lah hidup kalian hahaha tertawa di atas penderitaan orang lain menyenangkan ternyata ehe ðŸ˜­ðŸ˜‚",hate speech
"Haha... di Lambe Turah sy pernah tulis periksa jg yang videoin. Ternyata si oknum bripka... , pantes nyuruh2 sopan... Si oknum bukannya membina malah biarin istri mabok serasa istri jenderal.... Mampus lo",hate speech
pecat.. kok cuma di turun pangkat??.. untuk apa negara punya aparat begini.,hate speech
"Merekam biar viral, berharap dibela malah dihujat. Dikira Netizen bego ðŸ¤£",hate speech
Makanya kalau lagi razia karaoke jangan di bungkus pak..,hate speech
cikini ke gondangdia. dasar ani2 kebanyakan gaya,hate speech
Kapok wkwk. Seleb??? Seleb kampung??? Seleb karya Lo apa mba?? Yok shooting sAma saya ( Vista Putri----,hate speech
"Setelah di copot diceraikan istrinya, mungkin.",hate speech
"sepertinya  banyak  banget belain si densu nih , padahal belum di lakukan tes DNA ulang, ga mungkin tuh betina  yakin dan  sepertinya getol banget  tuh laki2 bapak anaknya  kalau gak si laki2 saat nyelup tuh betina  lagi ga ada laki2 lain yang nyelup dia beberapa lamaðŸ˜‚",hate speech
CUMA 12 TAHUN? HARUSNY 120 TAHUN GA SI ANJING,hate speech
"kelak setelah bebas nanti, kamu masuk penjara lagi...",hate speech
Mayang adalah tipe orang. Di belakang kamera sok sok an berani. Tapi kalau sudah di sampairin jadi cupu dan pendiam tole toleðŸ˜‚ðŸ˜‚ðŸ˜‚,hate speech
Dari cara ngomongnya nampak lg butuh uang makanya bikin trik biar diundang2 podcast & dapat duit. ,hate speech
Dia bilang daddy aja uda geli banget anjir,hate speech
ini mah mayang sama doddy sengaja pansos biar viral terus diundang dr richard ðŸ¤·â€â™€ï¸,hate speech
"Sok sok'an 500jt, ngasih cucu aja kagak pernah ðŸ˜‚ðŸ¤£ðŸ¤£",hate speech
"500jt bagi pak dokter receh bangetðŸ˜‚ kaya ada uang aja dodot, nganggur gituðŸ˜‚",hate speech
"Pingin viral dengan cara bacotanðŸ˜‚, minimal kalau mau viral mirip gisel lah adegan berapa detik gitu ðŸ”¥ðŸ”¥",hate speech
Dari suaranya aja keliatan Kampungan,hate speech
jangan gegayaaan lu dodot... berobat mata aja masih pake BPJS di RS Pertamina ðŸ¤£ðŸ¤£ðŸ¤£,hate speech
Bacot bang,hate speech
Terlalu bodoh apa terlalu tolol ya in orngðŸ˜‚ðŸ˜‚,hate speech
"Ciri"" tukang korupsi, gak bertanggung jawab ,beban negara,",hate speech
 Kalau flexing uang suami dari pemerintah apa ya ga malu? yang suaminya punya pangkat tinggi berbintang2 aja ga norak begini..,hate speech
"pak bisa ga sih kalau di copot dr jabatan itu jangan jadi polisi lagi, minimal jadi satapiam BCA .kalau di copot tapi masih jadi polisi mah istri nya masih bisa flexing pak",hate speech
"Emang bangsat ini model2 gini, pake fasilitas negara buat kepentingan pribadi, pake pamer2 lg… usut jg tuh kekayaannya dari mana suaminya cuma pangkat bripka hidup mewah & jalan 2 ke luar negeri @official.kpk @listyosigitapirabowo",hate speech
"Cuma di copot doang brati masih aktif dong masih dinas.. Istri solehah ya bgini nyusahin suami, udah enak"" jd LC  malah alih profesi",hate speech
"Gimana ini pak @listyosigitapirabowo udah bobrok banget ya korupsi polisi indo, sampai fasilitas official aja disalahgunakan gini. Reformasi besar2an pak. Mental pengabdian masyarakat polisi (dan keluarga polisi) sdh memprihatinkan.",hate speech
Norak,hate speech
"Masih jadi istri polisi citul aja seperti gini gayanya, gimana jadinya kalau suaminya jenderal. ...",hate speech
"MAMPUS. kalau kaya baru pas jadi ibu bhayangakari model kaya gini iniâ€¦ NORAKâ€¦. harus dipecat model kaya gini, masih digaji dari pajak rakyat aja laganya udah TENGIL",hate speech
 kampungan banget ya maklum dah dari kampung,hate speech
DPR DEWAN PERWAKILAN RAKYAT GA SEMUA KORUPSI TAPI KEBANYAKAN KORUPSI,hate speech
"Screening jadi ibu Bhayangkari ini gimana sih? Yang spek LCd gini, rambut extension patah, di cat orange, lidah ditindik kok lolos jadi ibu bhayangkari?",hate speech
Orang sombong dan angkuh ya ini org nya,hate speech
"DEFINISI AROGAN TETAP TERLIHAT WALAUPUN SUDAH MEMINTA MAAF, NGERI COK ",hate speech
sok sok bilang orang babu... sok sok an bilang bisa belanja 30 juta ingt ta kamu dulu kamu kerja dimana  jadi istri prajurit aja lo sombong gitu  sok2 an di probolinggo muka penuh merkuri gitu  menerut ku mending di penjara aja supit tahu ini,hate speech
ciee yang ngehina2 babu sekarang nangis mnta maaf ðŸ˜‚... sekarang merasa rendah hati... congor dijaga mbak... percuma cantik kalau attitude kagak ada...,hate speech
PECAT SUAMINYA BIAR KAPOK,hate speech
"ketika Ani Ani menggeser posisi Istri Sah, lalu kemudian menjadi Ibu bayang bayang ya begini ini ðŸ»",hate speech
ketika mami karaoke jadi ibu bhayangkari ðŸ˜‚,hate speech
Mbaknya yang marah marah itu kerja di karaoke mana sih ? Ga closing apa ga dapat tamu kok ngereog gitu..,hate speech
Waktu dia share dsosmed dalam hati keren banget nh saya eh malah bunuh diri wkwk,hate speech
" AWAK mu wes masuk lambe turah,  Mohon Bapak @listyosigitapirabowo @polisirepublikindonesia @polres_probolinggo @polresprobolinggokota @official.kpk apaka anggota polisi gajinya emang sebanyak itu, uang belanja istri bisa puluhan juta, jalan"" ke LN dengan gaya hidup hedon,  berapa gaji anda walai anggota ? Sangat malukan seorang polisi tidak bisa membina istrinya yang seorang bayangkari ngatain orang babu la LU sendiri babu di gaji sama pajak aja belagu , mohon pembinaanya Bapak @listyosigitapirabowo di kirim ke PAPUA biar ajarkan oleh mama"" disana bagaimana humanis seperti selogan polisi",hate speech
"Semoga suami nya di pecat, terus hidup melarat tuh ibu ibu dan keluarga nya",hate speech
"Udah benar polisi cari istri perawat bidan aja, malah cari istri selebgram problematik.",hate speech
"inilah bapak ibuk, pentingnya penggunaan kondom saat berhubungan suami istri, agar tidak lahir anak kontol macam mbak ini, ngajarin sopan santun tapi situ sendiri ga sopan",hate speech
DUTA KONTOL!,hate speech
duta pelacur,hate speech
Najis juga sih ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®,hate speech
Duta nyepong,hate speech
"Tawuran dinegeri org, mau jd jagoan? Malu2in aja. kalau kena hukuman mati",hate speech
"NORAK !!! SDM RENDAH !!! DI NEGARA ORANG LAGI ,,",hate speech
Menjadi altet pencak silat dan mengharumkan bangsa âŒ Ribut atas nama perguruan silat + memalukan negara âœ…,hate speech
GOBLOK,hate speech
Norak lo pada fans Fuji ðŸ˜‚ðŸ˜‚ segitunya ngebelain Fuji wkwk,hate speech
Thofu thofu alay. Barisan fans sakit hati,hate speech
"WKWK BERTANDA DIA HAMIL DILUAR MANUSIA, MAKA NYA MENGHILANG TUH ORANG ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£",hate speech
"Dari awal kadung ngira densu lah ayah dari anaknya ternyata pas ud tes DNA gak cocok masa iya mau tes DNA org lain lagi, kan jadi ketahuan proyeknya banyak. ðŸ˜‚ðŸ˜‚",hate speech
makanya jd cewe jangan murahan Ver.... sampai bingung nyari siapa bapak  anak lu,hate speech
"Mana nih mbak jamet… satset dong lama banget ,kemarin aja ngotot bla bla bla sekarang malah diamðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",hate speech
Tolol,hate speech
Goblok ! Penjarain !,hate speech
bocil biadab ðŸ˜¡ðŸ˜¡ðŸ˜¡,hate speech
"Udah muka gak cantik , kelakuan goblok",hate speech
Jambak2in jedotin ke tembok dong iblis,hate speech
Pengen banget saya jedotin kepalanyaðŸ˜¡ðŸ˜¡ðŸ˜¡,hate speech
pantasnya disuruh makan tinja lewat hidung,hate speech
Minimal mandi goblok,hate speech
goblok!!!,hate speech
nyiksa anjing tolol,hate speech
Yang baju coklaat kayak pembantu ðŸ˜‚ buluk banget mukanyaðŸ˜‚ðŸ˜‚ udah buluk gapunya adab lagii!! Udah cekok in pakai bayangon sama panadol 1 lembarðŸ˜‚ðŸ˜‚,hate speech
udah ga cantik minimal ga gabilang lah yaðŸ™‚,hate speech
"emang udah pelacur ma pelacur aja, binatang",hate speech
KAWAL tetap PROSES YUK DI BARESKRIM!,hate speech
 habis dimaafin gak jadi dipenjara pakek balik lagi deh pakek jilbab tapi baju ketat banget kayak gak pakek baju.,hate speech
"sekarang aja lo minta maaf, kemarin2 bilang wajar aja gak apa apa pendapat orang kan beda2.. hiks jijikðŸ¤¢",hate speech
Lebih pantas jadi pelacur dari pada jadi seleb,hate speech
tasyi kasihan banget hidup lu.. ego lu gede + punya laki kompor.. kagak bakalan tenang hidup lu.,hate speech
Tipe suaminya bukan jd penengah malah komporð,hate speech
" suami nya kaya gini serem deh ah bikin sm keluarga jauh, ngomongin mertua kayak gtu didepan khalayak, penasaran org kayak gini kena batunya kapan",hate speech
"Tasyi kena brainwash lakinya, saya yakin tasyi keknya baik cuma karena dapat modelan suami kek gini jd dia ke trigger. Orang bahas apa, lakinya bahas apa dah. Ngapain dia tetiba bilang kapan keluarganya tasyi bela dia? Lah gak nyambung kan yang ditanyain soal ultah mama Ala ðŸ˜‚",hate speech
"Suaminya udah problematik, kompor juga lagi ngomongnya, mau bagaimanapun itu anak nya, dan mertua lau bang.",hate speech
"Lakinya toxic banget asli, bukannya dia sepupuan harusnya emaknya tasyi sodara dia dong tapi kok kayaknya benci banget ya",hate speech
Si cewek paling ter zolimi tapi ludah sendiri dijilat lagi...,hate speech
Tombol SI ALvin Goblok ------------------>>,hate speech
"laki kepedaan, dan bini barunya juga ..sok menang gitu, padaHal lakinya bukaN mahluk hebat, yang ada kayak setan",hate speech
"Ditanya apa, jawabanya apa. Susah emang ngobrol sama babi air..",hate speech
Repot giliran gini aja terbuka ke masyarakat giliran korupsi atau makan uang rakyat diam diam keren ðŸ‘ðŸ‘ðŸ‘,hate speech
Kan cuma mengemis ðŸ˜® Daripada KORUPSI !!!,hate speech
"Giliran uang rakyat kecil aja di usik2, kalau yang pejabat malah di diamin, ups",hate speech
"Kurang cuan ya pak ? Ngurusin rakyat kecil banget asal dia gak korupsi mah biarin aja. Urusin yang koruptor masa gak berani, beraninya rakyat kecil mulu. MirisðŸ˜Š",hate speech
HEBOH bangetT YANG NANGKaP!!! KURANG KERJAaN LO!! EMOSI JUGA lihatnya,hate speech
terus KORUPSI dibiarin aja gitu? Lawak..,hate speech
Gak mampu sewa gedung yahðŸ˜‚ðŸ˜‚ðŸ˜‚ miskin banget sih,hate speech
"Gak modal, cuih",hate speech
"sudah hafal trik mau pemilu pasti seperti ini. DI HAPUS kalau TIDAK NAIK,, SETELAH ITU CaRi MUKA CaRi NAMA DI TURUN KAN.. SEMBAKO KELUAR DENGAN LABEL PARTAI..ðŸ¤ŸðŸ¤ŸðŸ¤Ÿ",hate speech
"yang gini"" kek cepat banget ya nangkepnya. Coba dong gembong narkoba sama yang korupsi.  lama benar",hate speech
"GILIRAN BOKEP AJA, GERCEP LO. KONTOL ðŸ˜‚",hate speech
Pengalihan isu knp selalu hal2 yang berbau porno? karena mudah jd pengalihan masa ðŸ¤£,hate speech
kalau PORNO AJA cepat GILIRAN KASUS KORUPSI LEMOT,hate speech
"Kebakaran gunung Bromo, sumur warna gunung Sindur yang tercemar BBM, para koruptor yang masih bebas berkeliaran menyalah gunakan kekuasaan terus ini semua mana tindakannya?",hate speech
kalau soal selangkangan cepat!,hate speech
"Harus Nikah di Penjara sih ini, efeknya parah banget",hate speech
"Minggu depan anak nya dibuat konten suruh megang uang dan nawarin give away ke pengemis2 online , konten norak",hate speech
"Duh hasilnya norak ga jelas banget mana udah ngorbanin taman nasional, lapisan ozon sama nambahin polusiðŸ¥²",hate speech
penjarain,hate speech
tombol ngatain TOLOL-------------------->,hate speech
Kawal sampai ijab kobul di dalam penjara,hate speech
kontol,hate speech
NORAK,hate speech
goblok,hate speech
"Penjarain semua yang terlibat aturan jangan cuma WO nya doang,",hate speech
Ngewe di penjara enak ada yang ngawasin,hate speech
" andai hukum di Indonesia tentang animal abuse diperkuat lagi, ga bakal jera biadab kayak gituðŸ™‚",hate speech
"Cakep kagak, goblok iya",hate speech
"Salah nih judulnya. Bukan 3 wanita, 3 DAJJAL.",hate speech
Tombol goblok nya tuan2 ðŸ‘‰ðŸ»,hate speech
